,Uniq ID,Code,np_calls,num_np_calls,np_calls_w_args,nltk_function
0,/home/amandapotts/git/nltk/nltk/text.py__default_context,"def _default_context(tokens, i):
""""""One left token and one right token, normalized to lowercase""""""
left = tokens[i - 1].lower() if i != 0 else ""*START*""
right = tokens[i + 1].lower() if i != len(tokens) - 1 else ""*END*""
return (left, right)
",[],0,[],/text.py__default_context
1,/home/amandapotts/git/nltk/nltk/text.py_tokens,"def tokens(self):
""""""
:rtype: list(str)
:return: The document that this context index was
created from.
""""""
return self._tokens
",[],0,[],/text.py_tokens
2,/home/amandapotts/git/nltk/nltk/text.py_word_similarity_dict,"def word_similarity_dict(self, word):
""""""
Return a dictionary mapping from words to 'similarity scores,'
indicating how often these two words occur in the same
context.
""""""
word = self._key(word)
word_contexts = set(self._word_to_contexts[word])
scores = {}
for w, w_contexts in self._word_to_contexts.items():
scores[w] = f_measure(word_contexts, set(w_contexts))
return scores
",[],0,[],/text.py_word_similarity_dict
3,/home/amandapotts/git/nltk/nltk/text.py_similar_words,"def similar_words(self, word, n=20):
scores = defaultdict(int)
for c in self._word_to_contexts[self._key(word)]:
for w in self._context_to_words[c]:
if w != word:
scores[w] += (
self._context_to_words[c][word] * self._context_to_words[c][w]
)
return sorted(scores, key=scores.get, reverse=True)[:n]
",[],0,[],/text.py_similar_words
4,/home/amandapotts/git/nltk/nltk/text.py_common_contexts,"def common_contexts(self, words, fail_on_unknown=False):
""""""
Find contexts where the specified words can all appear
return a frequency distribution mapping each context to the
number of times that context was used.
:param words: The words used to seed the similarity search
:type words: str
:param fail_on_unknown: If true, then raise a value error if
any of the given words do not occur at all in the index.
""""""
words = [self._key(w) for w in words]
contexts = [set(self._word_to_contexts[w]) for w in words]
empty = [words[i] for i in range(len(words)) if not contexts[i]]
common = reduce(set.intersection, contexts)
if empty and fail_on_unknown:
raise ValueError(""The following word(s) were not found:"", "" "".join(words))
elif not common:
return FreqDist()
else:
fd = FreqDist(
c for w in words for c in self._word_to_contexts[w] if c in common
)
return fd
",[],0,[],/text.py_common_contexts
5,/home/amandapotts/git/nltk/nltk/text.py_tokens,"def tokens(self):
""""""
:rtype: list(str)
:return: The document that this concordance index was
created from.
""""""
return self._tokens
",[],0,[],/text.py_tokens
6,/home/amandapotts/git/nltk/nltk/text.py_offsets,"def offsets(self, word):
""""""
:rtype: list(int)
:return: A list of the offset positions at which the given
word occurs.  If a key function was specified for the
index, then given word's key will be looked up.
""""""
word = self._key(word)
return self._offsets[word]
",[],0,[],/text.py_offsets
7,/home/amandapotts/git/nltk/nltk/text.py___repr__,"def __repr__(self):
return ""<ConcordanceIndex for %d tokens (%d types)>"" % (
len(self._tokens),
len(self._offsets),
)
",[],0,[],/text.py___repr__
8,/home/amandapotts/git/nltk/nltk/text.py_find_concordance,"def find_concordance(self, word, width=80):
""""""
Find all concordance lines given the query word.
Provided with a list of words, these will be found as a phrase.
""""""
if isinstance(word, list):
phrase = word
else:
phrase = [word]
phrase_str = "" "".join(phrase)
phrase_len = sum(1 for char in phrase_str if not unicodedata.combining(char))
half_width = (width - phrase_len - 2) // 2
context = width // 4  # approx number of words of context
concordance_list = []
offsets = self.offsets(phrase[0])
for i, word in enumerate(phrase[1:]):
word_offsets = {offset - i - 1 for offset in self.offsets(word)}
offsets = sorted(word_offsets.intersection(offsets))
if offsets:
for i in offsets:
query_word = "" "".join(self._tokens[i : i + len(phrase)])
left_context = self._tokens[max(0, i - context) : i]
right_context = self._tokens[i + len(phrase) : i + context]
left_print = cut_string("" "".join(left_context), -half_width).rjust(
half_width
)
right_print = cut_string("" "".join(right_context), half_width)
line_print = "" "".join([left_print, query_word, right_print])
concordance_line = ConcordanceLine(
left_context,
query_word,
right_context,
i,
left_print,
right_print,
line_print,
)
concordance_list.append(concordance_line)
return concordance_list
",[],0,[],/text.py_find_concordance
9,/home/amandapotts/git/nltk/nltk/text.py_print_concordance,"def print_concordance(self, word, width=80, lines=25):
""""""
Print concordance lines given the query word.
:param word: The target word or phrase (a list of strings)
:type word: str or list
:param lines: The number of lines to display (default=25)
:type lines: int
:param width: The width of each line, in characters (default=80)
:type width: int
:param save: The option to save the concordance.
:type save: bool
""""""
concordance_list = self.find_concordance(word, width=width)
if not concordance_list:
print(""no matches"")
else:
lines = min(lines, len(concordance_list))
print(f""Displaying {lines} of {len(concordance_list)} matches:"")
for i, concordance_line in enumerate(concordance_list[:lines]):
print(concordance_line.line)
",[],0,[],/text.py_print_concordance
